,date,open,high,low,close,volume,average,barCount
0,2020-03-20,244.73,246.78,230.7,231.29,-1,-1.0,-1
1,2020-03-23,230.165,231.545,220.205,224.58,-1,-1.0,-1
2,2020-03-24,236.41,246.36,235.9,245.83,-1,-1.0,-1
3,2020-03-25,245.57,257.21,240.425,247.495,-1,-1.0,-1
4,2020-03-26,250.29,263.655,249.74,262.265,-1,-1.0,-1
5,2020-03-27,254.04,261.625,251.75,254.2,-1,-1.0,-1
6,2020-03-30,256.525,263.195,254.36,262.47,-1,-1.0,-1
7,2020-03-31,261.395,264.135,257.005,258.465,-1,-1.0,-1
8,2020-04-01,248.73,252.215,244.625,246.905,-1,-1.0,-1
9,2020-04-02,245.95,253.48,245.34,252.625,-1,-1.0,-1
10,2020-04-03,251.52,254.065,246.005,248.985,-1,-1.0,-1
11,2020-04-06,258.655,267.8,257.52,265.775,-1,-1.0,-1
12,2020-04-07,275.085,275.96,265.72,265.905,-1,-1.0,-1
13,2020-04-08,268.755,276.28,266.395,274.96,-1,-1.0,-1
14,2020-04-09,278.455,282.085,276.345,279.105,-1,-1.0,-1
15,2020-04-13,278.01,278.31,272.26,276.42,-1,-1.0,-1
16,2020-04-14,281.855,285.845,280.79,284.805,-1,-1.0,-1
17,2020-04-15,278.44,280.48,276.31,278.615,-1,-1.0,-1
18,2020-04-16,280.005,280.925,276.62,280.06,-1,-1.0,-1
19,2020-04-17,286.305,288.235,283.3,287.65,-1,-1.0,-1
20,2020-04-20,283.495,287.215,282.23,282.5,-1,-1.0,-1
21,2020-04-21,277.565,278.945,272.89,273.865,-1,-1.0,-1
22,2020-04-22,279.22,281.915,277.775,280.07,-1,-1.0,-1
23,2020-04-23,281.385,284.835,279.655,279.955,-1,-1.0,-1
24,2020-04-24,281.65,284.6,279.385,283.945,-1,-1.0,-1
25,2020-04-27,285.995,289.205,285.555,288.045,-1,-1.0,-1
26,2020-04-28,291.99,292.355,286.34,286.71,-1,-1.0,-1
27,2020-04-29,292.47,295.845,291.38,294.15,-1,-1.0,-1
28,2020-04-30,292.675,293.19,289.53,291.265,-1,-1.0,-1
29,2020-05-01,286.2,286.96,282.435,283.635,-1,-1.0,-1
30,2020-05-04,281.595,284.845,280.04,284.6,-1,-1.0,-1
31,2020-05-05,287.535,290.185,286.66,287.1,-1,-1.0,-1
32,2020-05-06,288.965,289.4,285.105,285.205,-1,-1.0,-1
33,2020-05-07,288.685,290.725,288.08,288.62,-1,-1.0,-1
34,2020-05-08,292.03,293.83,290.805,293.435,-1,-1.0,-1
35,2020-05-11,291.27,294.985,290.815,293.48,-1,-1.0,-1
36,2020-05-12,294.74,295.19,287.46,287.525,-1,-1.0,-1
37,2020-05-13,287.01,288.11,279.865,282.565,-1,-1.0,-1
38,2020-05-14,279.815,286.025,277.255,285.975,-1,-1.0,-1
39,2020-05-15,283.325,287.235,282.225,287.18,-1,-1.0,-1
40,2020-05-18,293.995,297.68,293.66,295.975,-1,-1.0,-1
41,2020-05-19,295.315,297.19,292.905,292.96,-1,-1.0,-1
42,2020-05-20,296.785,298.865,296.555,297.965,-1,-1.0,-1
43,2020-05-21,297.755,298.665,294.66,295.745,-1,-1.0,-1
44,2020-05-22,295.54,296.63,294.205,296.385,-1,-1.0,-1
45,2020-05-26,302.965,303.21,299.72,300.2,-1,-1.0,-1
46,2020-05-27,303.17,304.61,297.885,304.565,-1,-1.0,-1
47,2020-05-28,305.735,307.915,303.295,303.995,-1,-1.0,-1
48,2020-05-29,303.485,305.99,300.61,305.21,-1,-1.0,-1
49,2020-06-01,304.62,307.255,304.08,306.635,-1,-1.0,-1
50,2020-06-02,307.615,309.215,306.155,309.195,-1,-1.0,-1
51,2020-06-03,311.305,314.33,311.02,313.335,-1,-1.0,-1
52,2020-06-04,312.185,314.12,310.155,312.385,-1,-1.0,-1
53,2020-06-05,318.385,322.455,318.305,320.455,-1,-1.0,-1
54,2020-06-08,321.405,324.56,320.785,324.435,-1,-1.0,-1
55,2020-06-09,321.455,323.55,320.52,321.99,-1,-1.0,-1
56,2020-06-10,322.595,323.57,319.385,320.14,-1,-1.0,-1
57,2020-06-11,312.565,313.205,301.04,301.595,-1,-1.0,-1
58,2020-06-12,309.295,310.16,299.605,305.32,-1,-1.0,-1
59,2020-06-15,297.725,308.11,296.49,306.855,-1,-1.0,-1
60,2020-06-16,315.34,315.495,307.515,312.81,-1,-1.0,-1
61,2020-06-17,313.905,314.23,310.56,311.415,-1,-1.0,-1
62,2020-06-18,309.82,312.145,309.325,311.58,-1,-1.0,-1
63,2020-06-19,315.405,315.61,308.385,309.74,-1,-1.0,-1
64,2020-06-22,309.195,312.235,307.945,311.87,-1,-1.0,-1
65,2020-06-23,314.735,315.73,312.835,313.24,-1,-1.0,-1
66,2020-06-24,311.055,311.72,303.275,305.31,-1,-1.0,-1
67,2020-06-25,304.67,308.845,302.455,308.465,-1,-1.0,-1
68,2020-06-26,307.34,307.59,300.59,301.255,-1,-1.0,-1
69,2020-06-29,302.575,305.645,300.11,305.615,-1,-1.0,-1
70,2020-06-30,305.16,311.405,305.03,309.715,-1,-1.0,-1
71,2020-07-01,310.735,313.085,310.265,311.79,-1,-1.0,-1
72,2020-07-02,315.485,316.93,312.725,313.425,-1,-1.0,-1
73,2020-07-06,317.63,318.675,316.79,318.235,-1,-1.0,-1
74,2020-07-07,316.565,318.765,314.6,314.94,-1,-1.0,-1
75,2020-07-08,315.835,317.54,313.925,317.355,-1,-1.0,-1
76,2020-07-09,318.05,318.34,311.89,315.635,-1,-1.0,-1
77,2020-07-10,315.475,319.12,313.985,318.865,-1,-1.0,-1
78,2020-07-13,321.37,323.975,315.36,316.02,-1,-1.0,-1
79,2020-07-14,314.54,320.575,313.215,320.165,-1,-1.0,-1
80,2020-07-15,323.69,324.325,320.53,323.14,-1,-1.0,-1
81,2020-07-16,321.065,322.54,320.34,322.07,-1,-1.0,-1
82,2020-07-17,323.135,323.845,320.985,322.955,-1,-1.0,-1
83,2020-07-20,322.7,326.425,321.91,325.63,-1,-1.0,-1
84,2020-07-21,327.74,328.235,325.24,326.27,-1,-1.0,-1
85,2020-07-22,325.895,328.485,325.79,328.12,-1,-1.0,-1
86,2020-07-23,327.74,328.53,322.75,324.225,-1,-1.0,-1
87,2020-07-24,322.22,323.265,320.51,322.135,-1,-1.0,-1
88,2020-07-27,322.905,324.68,322.04,324.475,-1,-1.0,-1
89,2020-07-28,323.715,324.935,322.12,322.48,-1,-1.0,-1
90,2020-07-29,323.395,327.05,323.355,326.395,-1,-1.0,-1
91,2020-07-30,323.185,325.715,320.89,325.27,-1,-1.0,-1
92,2020-07-31,327.205,327.895,322.6,327.84,-1,-1.0,-1
93,2020-08-03,329.655,330.93,329.035,330.08,-1,-1.0,-1
94,2020-08-04,329.15,331.39,329.145,331.35,-1,-1.0,-1
95,2020-08-05,332.82,333.74,332.52,333.425,-1,-1.0,-1
96,2020-08-06,332.79,335.805,332.45,335.68,-1,-1.0,-1
97,2020-08-07,334.635,336.11,333.655,335.915,-1,-1.0,-1
98,2020-08-10,336.425,337.14,334.29,336.925,-1,-1.0,-1
99,2020-08-11,338.245,338.885,333.355,334.165,-1,-1.0,-1
100,2020-08-12,336.795,339.65,336.795,338.77,-1,-1.0,-1
101,2020-08-13,337.95,339.625,337.175,338.21,-1,-1.0,-1
102,2020-08-14,337.765,338.79,337.035,338.225,-1,-1.0,-1
103,2020-08-17,339.3,339.725,338.845,339.255,-1,-1.0,-1
104,2020-08-18,339.705,340.48,337.975,339.985,-1,-1.0,-1
105,2020-08-19,340.445,340.995,337.985,338.59,-1,-1.0,-1
106,2020-08-20,336.72,340.155,336.58,339.635,-1,-1.0,-1
107,2020-08-21,339.305,341.075,338.93,340.83,-1,-1.0,-1
108,2020-08-24,343.505,344.42,342.435,344.335,-1,-1.0,-1
109,2020-08-25,344.955,345.61,343.66,345.51,-1,-1.0,-1
110,2020-08-26,346.145,349.3,345.56,348.99,-1,-1.0,-1
111,2020-08-27,349.935,351.34,347.965,349.755,-1,-1.0,-1
112,2020-08-28,350.895,352.19,349.6,352.025,-1,-1.0,-1
113,2020-08-31,351.805,352.775,350.54,350.765,-1,-1.0,-1
114,2020-09-01,351.675,354.17,350.69,354.065,-1,-1.0,-1
115,2020-09-02,356.175,360.235,354.895,359.21,-1,-1.0,-1
116,2020-09-03,357.385,357.885,344.015,346.84,-1,-1.0,-1
117,2020-09-04,347.585,349.27,336.205,344.02,-1,-1.0,-1
118,2020-09-08,338.025,339.425,334.205,334.575,-1,-1.0,-1
119,2020-09-09,338.925,343.895,337.97,341.155,-1,-1.0,-1
120,2020-09-10,343.225,343.93,334.2,335.24,-1,-1.0,-1
121,2020-09-11,337.165,338.335,332.325,335.405,-1,-1.0,-1
122,2020-09-14,338.845,341.755,338.275,339.81,-1,-1.0,-1
123,2020-09-15,342.505,343.42,340.41,341.555,-1,-1.0,-1
124,2020-09-16,342.985,344.48,339.92,340.195,-1,-1.0,-1
125,2020-09-17,334.915,339.08,334.33,337.27,-1,-1.0,-1
126,2020-09-18,338.045,338.2,330.625,333.33,-1,-1.0,-1
127,2020-09-21,328.345,329.735,324.325,329.675,-1,-1.0,-1
128,2020-09-22,331.23,333.565,328.485,332.99,-1,-1.0,-1
129,2020-09-23,332.075,332.38,323.215,323.77,-1,-1.0,-1
130,2020-09-24,322.335,327.925,320.91,324.63,-1,-1.0,-1
131,2020-09-25,323.67,330.715,322.755,329.845,-1,-1.0,-1
132,2020-09-28,334.375,336.125,333.275,335.355,-1,-1.0,-1
133,2020-09-29,335.17,335.92,332.76,333.54,-1,-1.0,-1
134,2020-09-30,334.265,339.46,334.015,336.025,-1,-1.0,-1
135,2020-10-01,338.865,339.9,336.17,338.22,-1,-1.0,-1
136,2020-10-02,332.835,337.11,332.325,335.02,-1,-1.0,-1
